iter	Passed	Remaining
0	7	3653
1	12	3098
2	21	3562
3	30	3724
4	35	3479
5	45	3738
6	51	3632
7	59	3631
8	64	3537
9	71	3516
10	81	3619
11	89	3645
12	95	3596
13	103	3588
14	109	3556
15	116	3519
16	125	3554
17	130	3489
18	138	3517
19	144	3460
20	151	3466
21	157	3426
22	161	3358
23	168	3348
24	174	3317
25	183	3342
26	187	3292
27	192	3250
28	199	3245
29	206	3234
30	219	3322
31	229	3360
32	236	3345
33	246	3383
34	254	3378
35	262	3378
36	272	3411
37	283	3443
38	287	3400
39	297	3416
40	302	3383
41	307	3352
42	312	3318
43	316	3276
44	324	3276
45	329	3256
46	333	3214
47	341	3218
48	347	3197
49	357	3220
50	365	3220
51	371	3203
52	377	3187
53	385	3186
54	394	3191
55	404	3206
56	410	3194
57	421	3208
58	427	3197
59	441	3238
60	450	3244
61	462	3267
62	471	3267
63	477	3249
64	483	3236
65	491	3231
66	499	3229
67	503	3199
68	508	3174
69	513	3156
70	517	3128
71	525	3124
72	529	3096
73	533	3071
74	541	3068
75	545	3045
76	551	3027
77	558	3019
78	563	3002
79	569	2988
80	575	2979
81	582	2969
82	590	2967
83	598	2963
84	605	2954
85	617	2972
86	625	2971
87	633	2963
88	639	2953
89	646	2945
90	653	2937
91	659	2926
92	667	2919
93	672	2904
94	680	2901
95	686	2887
96	693	2881
97	698	2864
98	706	2863
99	712	2848
100	720	2847
101	725	2830
102	732	2824
103	738	2811
104	743	2797
105	751	2794
106	759	2789
107	771	2798
108	787	2823
109	801	2841
110	813	2850
111	821	2845
112	835	2860
113	848	2874
114	863	2890
115	870	2882
116	880	2883
117	895	2899
118	901	2886
119	911	2884
120	921	2886
121	932	2888
122	940	2883
123	958	2905
124	968	2906
125	976	2898
126	985	2893
127	994	2888
128	1008	2899
129	1016	2893
130	1024	2887
131	1042	2905
132	1057	2918
133	1075	2938
134	1090	2948
135	1105	2957
136	1117	2960
137	1122	2945
138	1132	2940
139	1145	2945
140	1152	2934
141	1160	2926
142	1167	2914
143	1174	2903
144	1185	2902
145	1198	2905
146	1207	2900
147	1212	2884
148	1222	2880
149	1227	2864
150	1233	2851
151	1239	2838
152	1246	2827
153	1254	2817
154	1261	2806
155	1268	2796
156	1272	2779
157	1277	2764
158	1282	2751
159	1287	2736
160	1292	2721
161	1298	2708
162	1303	2694
163	1311	2686
164	1316	2672
165	1320	2656
166	1325	2642
167	1331	2631
168	1342	2629
169	1350	2621
170	1359	2615
171	1368	2609
172	1374	2598
173	1378	2582
174	1382	2567
175	1389	2557
176	1394	2544
177	1399	2531
178	1406	2521
179	1409	2506
180	1413	2491
181	1418	2478
182	1423	2465
183	1427	2450
184	1431	2436
185	1437	2426
186	1441	2413
187	1446	2400
188	1452	2390
189	1456	2376
190	1460	2362
191	1468	2355
192	1471	2341
193	1476	2328
194	1481	2317
195	1487	2306
196	1491	2294
197	1500	2288
198	1504	2276
199	1508	2263
200	1518	2258
201	1524	2249
202	1532	2241
203	1537	2230
204	1543	2221
205	1550	2212
206	1557	2203
207	1565	2197
208	1570	2187
209	1577	2178
210	1582	2167
211	1589	2159
212	1594	2148
213	1598	2136
214	1603	2126
215	1608	2115
216	1612	2103
217	1616	2091
218	1623	2083
219	1627	2070
220	1631	2059
221	1638	2051
222	1642	2039
223	1646	2029
224	1652	2019
225	1656	2008
226	1660	1996
227	1664	1985
228	1672	1979
229	1679	1971
230	1684	1961
231	1688	1950
232	1692	1939
233	1697	1929
234	1702	1919
235	1705	1908
236	1709	1897
237	1718	1892
238	1722	1881
239	1730	1874
240	1736	1866
241	1745	1860
242	1754	1855
243	1758	1844
244	1767	1839
245	1771	1829
246	1778	1821
247	1783	1812
248	1787	1801
